2015-09-17 10:29:53,138 [10] INFO  Umbraco.Core.PluginManager - [P4956/T1/D2] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-09-17 10:29:53,139 [10] INFO  Umbraco.Core.PluginManager - [P4956/T1/D2] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 0ms)
2015-09-17 10:30:24,824 [10] INFO  Umbraco.Core.DatabaseContext - [P4956/T1/D2] CanConnect = True
2015-09-17 10:30:24,843 [10] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - [P4956/T1/D2] Initializing Umbraco internal event handlers for cache refreshing
2015-09-17 10:30:24,893 [10] INFO  Umbraco.Web.Search.ExamineEvents - [P4956/T1/D2] Initializing Examine and binding to business logic events
2015-09-17 10:30:24,996 [10] INFO  Umbraco.Web.Search.ExamineEvents - [P4956/T1/D2] Adding examine event handlers for index providers: 3
2015-09-17 10:30:25,090 [10] INFO  Umbraco.Core.CoreBootManager - [P4956/T1/D2] Umbraco application startup complete (took 33065ms)
2015-09-17 10:30:28,418 [10] INFO  Umbraco.Core.ApplicationContext - [P4956/T1/D2] ApplicationUrl: http://localhost:80/umbraco (UmbracoModule request)
2015-09-17 10:30:28,963 [10] INFO  umbraco.content - [P4956/T1/D2] Load Xml from file...
2015-09-17 10:30:28,988 [10] INFO  umbraco.content - [P4956/T1/D2] Loaded Xml from file.
2015-09-17 10:30:29,772 [10] INFO  Umbraco.Core.PluginManager - [P4956/T1/D2] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2015-09-17 10:30:29,774 [10] INFO  Umbraco.Core.PluginManager - [P4956/T1/D2] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 23 (took 0ms)
2015-09-17 10:30:31,433 [10] INFO  Umbraco.Core.PluginManager - [P4956/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
2015-09-17 10:30:31,435 [10] INFO  Umbraco.Core.PluginManager - [P4956/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 44 (took 2ms)
2015-09-17 10:30:34,311 [10] INFO  Umbraco.Core.PluginManager - [P4956/T1/D2] Starting resolution types of umbraco.cms.businesslogic.macro.IMacroEngine
2015-09-17 10:30:34,312 [10] INFO  Umbraco.Core.PluginManager - [P4956/T1/D2] Completed resolution of types of umbraco.cms.businesslogic.macro.IMacroEngine, found 2 (took 1ms)
2015-09-17 10:31:38,191 [10] INFO  umbraco.BusinessLogic.Log - [P4956/T1/D2] Log scrubbed.  Removed all items older than 2015-07-19 10:31:38
2015-09-17 10:32:46,468 [24] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P4956/T23/D3] [ScheduledPublishing] Terminating
2015-09-17 10:32:46,471 [24] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P4956/T23/D3] [ScheduledPublishing] Waiting for tasks to complete
2015-09-17 10:32:46,485 [24] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P4956/T23/D3] [ScheduledPublishing] Tasks completed, terminated
2015-09-17 10:32:48,139 [24] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P4956/T23/D3] [LogScrubber] Terminating
2015-09-17 10:32:48,139 [24] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P4956/T23/D3] [LogScrubber] Waiting for tasks to complete
2015-09-17 10:32:48,139 [24] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P4956/T23/D3] [ScheduledTasks] Terminating
2015-09-17 10:32:48,139 [24] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P4956/T23/D3] [ScheduledTasks] Waiting for tasks to complete
2015-09-17 10:32:48,141 [24] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P4956/T23/D3] [LogScrubber] Tasks completed, terminated
2015-09-17 10:32:48,142 [24] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P4956/T23/D3] [KeepAlive] Terminating
2015-09-17 10:32:48,142 [24] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P4956/T23/D3] [KeepAlive] Waiting for tasks to complete
2015-09-17 10:32:48,142 [24] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P4956/T23/D3] [KeepAlive] Tasks completed, terminated
2015-09-17 10:32:48,143 [24] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P4956/T23/D3] [ScheduledTasks] Tasks completed, terminated
2015-09-17 10:33:02,767 [37] INFO  Umbraco.Core.CoreBootManager - [P4956/T36/D4] Umbraco 7.2.8 application starting on DEBBIEMCKAY-PC
2015-09-17 10:33:02,826 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Determining hash of code files on disk
2015-09-17 10:33:02,842 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Hash determined (took 14ms)
2015-09-17 10:33:02,854 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-09-17 10:33:02,895 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 38 (took 39ms)
2015-09-17 10:33:03,080 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-09-17 10:33:03,082 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 1ms)
2015-09-17 10:33:03,082 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
